Temparature,Humidity,Moisture,Soil Type,Crop Type,Nitrogen,Potassium,Phosphorous,Fertilizer Name
34.4,66.6,48.7,Loamy,Sugarcane,14.9,16.1,14.7,17-17-17
33.7,67.1,52.7,Loamy,Sugarcane,9.7,11.3,13.8,17-17-17
34.4,51.6,43.7,Sandy,Millets,16.8,5.8,19.0,28-28
32.2,65.7,35.7,Loamy,Sugarcane,40.6,0.5,1.1,Urea
28.0,55.4,48.4,Loamy,Wheat,22.4,1.8,19.2,28-28
30.8,54.2,37.0,Black,Millets,39.9,0.0,1.7,Urea
28.5,47.9,38.3,Sandy,Barley,15.5,9.8,16.9,17-17-17
28.4,57.1,32.8,Black,Millets,40.0,3.5,0.4,Urea
34.1,62.6,52.4,Loamy,Wheat,40.0,0.4,2.0,Urea
28.5,58.0,32.3,Black,Millets,41.2,2.8,5.2,Urea
34.5,61.3,44.1,Clayey,Paddy,15.9,3.3,25.4,28-28
28.4,53.3,32.2,Red,Ground Nuts,9.5,3.7,43.7,DAP
29.5,53.6,34.4,Sandy,Barley,17.1,8.1,15.0,17-17-17
34.7,63.0,47.6,Black,Sugarcane,10.8,11.0,13.6,17-17-17
35.3,67.8,32.3,Sandy,Barley,12.4,0.0,38.6,14-35-14
29.6,53.0,66.3,Black,Cotton,40.4,2.8,4.1,Urea
31.4,61.4,60.3,Loamy,Cotton,7.4,11.5,26.9,14-35-14
27.5,53.0,26.4,Clayey,Pulses,13.4,0.9,13.3,20-20
31.4,67.6,31.8,Red,Pulses,26.2,3.1,18.3,28-28
26.7,56.1,35.6,Black,Millets,40.3,1.8,2.6,Urea
31.4,50.6,43.9,Loamy,Wheat,20.5,1.9,18.9,28-28
29.5,53.3,37.9,Black,Millets,35.0,0.0,5.9,Urea
37.7,67.5,35.5,Sandy,Barley,13.7,1.7,42.8,14-35-14
29.8,53.6,40.1,Black,Millets,43.2,0.8,5.2,Urea
30.7,54.3,38.6,Black,Millets,44.1,2.2,0.0,Urea
28.8,61.5,55.2,Loamy,Sugarcane,15.1,5.4,30.6,14-35-14
28.8,60.9,66.1,Loamy,Cotton,6.4,12.7,31.8,14-35-14
33.4,63.0,28.1,Red,Tobacco,21.7,3.9,19.7,28-28
38.4,66.0,37.3,Clayey,Paddy,14.2,5.2,39.5,DAP
33.4,52.6,36.4,Sandy,Maize,20.6,4.7,15.6,28-28
32.1,54.1,48.6,Clayey,Paddy,38.7,1.6,3.3,Urea
27.9,57.1,41.6,Sandy,Maize,23.6,3.7,18.6,28-28
29.1,63.4,46.5,Black,Sugarcane,11.6,15.0,16.5,17-17-17
30.3,52.7,45.2,Sandy,Millets,17.9,3.3,16.7,28-28
26.1,62.9,60.4,Loamy,Cotton,38.9,2.6,1.0,Urea
34.3,62.8,48.9,Black,Sugarcane,10.1,11.5,12.9,17-17-17
26.0,62.2,64.4,Loamy,Cotton,35.8,0.5,6.2,Urea
37.2,62.8,66.1,Black,Cotton,6.6,7.8,29.6,14-35-14
29.1,55.5,32.6,Clayey,Pulses,14.6,5.0,10.4,20-20
25.8,57.0,32.6,Red,Ground Nuts,9.0,3.3,39.7,DAP
32.8,66.0,35.4,Red,Pulses,27.2,3.1,25.0,28-28
30.3,64.1,29.7,Loamy,Sugarcane,13.8,4.6,36.3,DAP
32.0,54.5,43.1,Sandy,Millets,18.2,3.0,15.9,28-28
31.8,64.1,33.3,Loamy,Sugarcane,41.7,2.8,2.9,Urea
24.6,49.4,29.6,Red,Ground Nuts,17.6,18.3,11.8,17-17-17
30.7,59.6,55.5,Loamy,Sugarcane,11.4,10.2,32.4,14-35-14
31.7,57.1,40.6,Clayey,Paddy,34.2,2.6,4.1,Urea
31.0,57.7,31.1,Clayey,Pulses,10.0,2.3,6.9,20-20
25.3,52.4,46.2,Loamy,Wheat,30.1,0.0,19.3,28-28
27.4,58.3,36.9,Black,Millets,41.7,1.6,1.1,Urea
23.9,53.0,30.6,Red,Ground Nuts,8.9,4.5,36.3,DAP
33.4,53.2,47.9,Loamy,Wheat,10.4,0.1,40.2,DAP
28.6,56.5,29.5,Clayey,Pulses,13.0,2.1,16.5,20-20
31.8,67.6,33.1,Loamy,Sugarcane,17.0,0.4,37.9,DAP
27.8,59.8,44.2,Clayey,Paddy,41.3,1.0,1.5,Urea
35.9,67.0,30.1,Red,Tobacco,31.1,4.8,26.9,28-28
36.8,63.4,51.2,Loamy,Sugarcane,13.8,17.4,11.1,17-17-17
26.8,48.8,28.8,Red,Ground Nuts,13.5,14.4,13.5,17-17-17
35.6,69.6,38.2,Clayey,Paddy,8.9,1.6,40.6,DAP
27.4,48.3,25.2,Sandy,Ground Nuts,20.1,2.5,33.1,DAP
36.8,59.9,37.2,Red,Pulses,28.1,2.4,21.4,28-28
31.3,65.5,65.0,Red,Cotton,10.3,8.6,33.3,14-35-14
32.5,63.0,63.1,Loamy,Sugarcane,9.9,11.0,31.5,14-35-14
30.9,60.1,45.7,Black,Sugarcane,13.1,14.1,15.6,17-17-17
28.1,54.6,36.1,Black,Millets,34.9,4.9,1.4,Urea
34.9,68.1,37.7,Black,Oil seeds,13.2,8.1,38.4,DAP
25.5,56.7,54.5,Red,Cotton,14.1,0.7,11.4,20-20
29.2,52.4,33.5,Clayey,Pulses,12.7,3.5,11.2,20-20
31.4,63.8,51.7,Loamy,Wheat,37.7,2.3,3.7,Urea
27.7,66.1,65.4,Loamy,Cotton,36.9,3.8,2.9,Urea
35.5,72.7,36.7,Black,Oil seeds,13.4,10.8,41.4,DAP
27.5,54.4,47.6,Loamy,Wheat,25.7,0.9,18.9,28-28
24.9,61.6,61.6,Loamy,Cotton,44.5,1.0,5.0,Urea
26.1,52.9,42.6,Loamy,Wheat,23.2,0.4,16.4,28-28
30.5,50.5,36.4,Sandy,Maize,23.2,0.4,22.9,28-28
33.7,70.1,42.1,Clayey,Paddy,16.5,4.0,41.4,DAP
33.3,60.9,55.9,Black,Sugarcane,10.6,11.8,12.5,17-17-17
34.0,52.5,67.8,Black,Cotton,44.4,1.9,6.3,Urea
35.1,66.8,47.7,Loamy,Wheat,40.0,3.9,6.0,Urea
35.1,68.7,31.3,Red,Tobacco,27.7,4.7,25.8,28-28
34.3,68.2,50.4,Loamy,Sugarcane,13.7,16.1,9.8,17-17-17
26.9,50.6,41.3,Sandy,Maize,35.1,1.1,7.0,Urea
37.8,71.2,28.0,Black,Oil seeds,12.2,7.8,44.3,DAP
28.6,56.5,33.4,Clayey,Pulses,12.2,2.9,8.8,20-20
28.3,50.8,38.6,Sandy,Maize,42.7,2.8,2.9,Urea
28.2,61.6,63.1,Loamy,Cotton,10.6,10.1,33.4,14-35-14
30.6,60.2,45.3,Clayey,Paddy,33.0,0.3,0.9,Urea
29.6,63.2,58.8,Red,Cotton,10.5,13.8,27.8,14-35-14
28.7,53.0,27.8,Sandy,Ground Nuts,19.2,1.6,32.1,DAP
30.2,53.4,41.4,Clayey,Paddy,34.6,4.0,0.0,Urea
35.8,66.3,48.1,Loamy,Wheat,43.6,4.3,4.9,Urea
34.3,63.8,30.2,Red,Tobacco,20.9,0.6,26.4,28-28
28.1,54.0,30.4,Black,Millets,39.3,1.1,2.6,Urea
35.9,66.5,42.4,Clayey,Paddy,11.6,0.8,22.4,28-28
29.8,58.3,35.6,Black,Millets,43.2,4.5,4.2,Urea
30.2,50.9,46.8,Loamy,Wheat,26.3,2.0,21.6,28-28
34.8,62.1,47.3,Loamy,Wheat,42.0,2.6,4.0,Urea
27.1,51.8,63.9,Red,Cotton,13.4,1.2,13.6,20-20
33.9,63.1,46.5,Clayey,Paddy,17.2,0.6,23.3,28-28
29.8,52.1,38.9,Sandy,Maize,40.9,2.9,3.8,Urea
33.0,53.2,50.1,Loamy,Wheat,14.4,1.4,42.1,DAP
30.4,64.9,48.0,Loamy,Wheat,39.1,4.6,3.2,Urea
30.5,64.9,32.2,Loamy,Sugarcane,40.1,3.0,2.6,Urea
32.2,64.1,62.6,Red,Cotton,10.7,10.6,32.9,14-35-14
35.4,59.9,57.0,Loamy,Sugarcane,9.4,10.3,35.8,14-35-14
28.0,55.8,50.3,Loamy,Wheat,11.3,5.5,33.4,DAP
27.2,53.1,34.1,Red,Ground Nuts,12.6,2.0,38.8,DAP
34.8,53.4,44.4,Sandy,Millets,16.4,3.6,19.2,28-28
36.3,67.8,31.1,Red,Tobacco,10.2,0.5,40.3,DAP
33.0,62.4,26.8,Loamy,Sugarcane,11.1,4.5,36.8,DAP
34.5,64.8,55.1,Loamy,Sugarcane,14.2,8.9,30.4,14-35-14
26.3,55.4,23.9,Red,Ground Nuts,14.9,18.9,8.5,17-17-17
36.0,66.1,33.2,Sandy,Barley,16.1,1.7,41.9,14-35-14
32.0,67.1,54.7,Loamy,Sugarcane,12.0,17.2,11.6,17-17-17
31.4,64.7,33.3,Red,Tobacco,21.7,2.4,24.5,28-28
31.9,57.3,43.4,Sandy,Millets,15.1,4.5,21.4,28-28
39.1,67.3,36.0,Black,Oil seeds,11.1,10.7,37.7,DAP
33.0,67.3,57.7,Black,Cotton,9.9,12.8,31.5,14-35-14
29.3,53.6,35.9,Black,Millets,37.1,1.7,6.9,Urea
26.0,58.7,36.4,Black,Millets,41.2,0.7,5.4,Urea
26.7,52.7,32.8,Clayey,Pulses,16.9,3.5,10.0,20-20
27.4,54.2,33.1,Red,Ground Nuts,13.6,3.6,42.5,DAP
32.3,63.6,48.4,Loamy,Sugarcane,10.0,17.0,12.9,17-17-17
36.0,69.0,33.6,Sandy,Barley,11.4,4.4,37.6,14-35-14
37.0,67.3,66.8,Black,Cotton,11.0,10.6,28.9,14-35-14
25.1,55.3,32.6,Red,Ground Nuts,9.1,4.0,36.7,DAP
29.9,65.0,37.9,Clayey,Paddy,18.6,4.0,23.8,28-28
31.9,61.1,45.9,Clayey,Paddy,12.2,4.8,19.3,28-28
33.9,61.1,57.6,Red,Cotton,10.2,7.6,31.9,14-35-14
29.7,55.2,30.3,Sandy,Barley,16.3,11.5,9.9,17-17-17
33.9,52.5,43.7,Sandy,Millets,11.9,4.7,17.0,28-28
34.8,62.3,39.0,Clayey,Paddy,15.9,0.7,20.6,28-28
31.1,62.9,46.2,Loamy,Wheat,41.5,1.4,6.0,Urea
32.0,68.6,46.4,Loamy,Wheat,40.7,1.7,4.3,Urea
33.6,64.3,43.8,Clayey,Paddy,16.0,2.0,25.3,28-28
31.7,68.2,50.5,Loamy,Wheat,42.3,5.1,6.0,Urea
32.0,64.4,31.0,Loamy,Sugarcane,16.4,3.7,36.2,DAP
36.9,63.2,60.4,Black,Cotton,10.9,11.6,33.1,14-35-14
35.3,66.4,36.4,Red,Tobacco,7.2,3.4,35.2,DAP
29.4,59.8,29.2,Loamy,Sugarcane,37.0,1.9,1.7,Urea
31.4,63.6,31.9,Loamy,Sugarcane,10.5,2.1,40.6,DAP
31.0,49.7,41.7,Sandy,Maize,43.0,1.4,1.1,Urea
33.6,67.4,52.7,Loamy,Sugarcane,14.4,15.5,16.1,17-17-17
27.6,55.2,48.8,Loamy,Wheat,16.3,3.9,39.6,DAP
28.4,53.2,50.0,Loamy,Wheat,14.6,2.0,34.9,DAP
29.1,52.8,61.8,Red,Cotton,9.4,5.0,13.3,20-20
25.7,57.0,63.7,Black,Cotton,39.0,4.6,2.0,Urea
32.9,64.9,62.2,Loamy,Sugarcane,12.7,7.1,33.3,14-35-14
32.0,51.7,42.0,Sandy,Millets,15.2,0.8,16.3,28-28
33.7,64.4,28.6,Loamy,Sugarcane,38.6,1.6,3.7,Urea
27.9,53.2,34.2,Black,Millets,38.1,4.2,2.1,Urea
32.7,53.8,44.8,Clayey,Paddy,40.5,4.6,3.7,Urea
32.9,56.9,43.5,Clayey,Paddy,34.6,4.3,3.7,Urea
27.8,54.4,40.5,Sandy,Millets,13.6,0.9,16.8,28-28
25.8,55.9,31.4,Clayey,Pulses,13.9,0.7,10.0,20-20
31.7,61.9,35.8,Red,Pulses,27.4,3.3,23.6,28-28
37.7,66.6,30.1,Sandy,Barley,12.9,0.6,37.4,14-35-14
32.8,60.4,30.9,Red,Pulses,24.0,5.1,22.1,28-28
34.9,61.7,32.5,Loamy,Sugarcane,16.2,4.0,43.4,DAP
26.4,66.0,61.8,Loamy,Cotton,34.3,3.3,2.0,Urea
27.3,52.4,38.9,Sandy,Maize,39.9,2.7,3.3,Urea
33.2,67.1,49.4,Loamy,Sugarcane,14.5,12.0,14.4,17-17-17
30.5,53.0,42.0,Sandy,Millets,13.0,3.2,20.2,28-28
25.7,66.8,64.8,Loamy,Cotton,40.2,3.8,0.5,Urea
30.4,65.2,58.4,Loamy,Sugarcane,14.2,8.0,32.8,14-35-14
25.8,60.2,60.7,Loamy,Cotton,10.4,11.5,27.9,14-35-14
32.3,63.3,51.4,Loamy,Sugarcane,13.9,16.7,15.8,17-17-17
34.4,65.3,40.0,Clayey,Pulses,42.6,3.5,1.9,Urea
28.5,54.2,36.4,Black,Millets,38.4,0.6,4.9,Urea
25.4,65.8,61.9,Loamy,Cotton,38.8,0.8,1.6,Urea
29.3,57.3,43.1,Sandy,Millets,18.1,2.4,15.6,28-28
25.7,53.1,51.9,Loamy,Wheat,30.3,2.5,18.3,28-28
31.7,61.4,36.0,Red,Tobacco,28.0,0.4,25.1,28-28
31.5,61.3,54.7,Black,Sugarcane,14.7,12.1,12.0,17-17-17
30.2,51.5,31.1,Red,Ground Nuts,21.1,16.7,11.9,17-17-17
36.6,64.8,61.5,Black,Cotton,7.2,13.1,31.1,14-35-14
32.5,61.5,59.5,Red,Cotton,13.4,13.9,34.7,14-35-14
35.7,64.1,34.4,Clayey,Pulses,39.9,1.4,1.2,Urea
39.5,66.0,34.5,Clayey,Paddy,13.6,4.9,41.0,DAP
31.8,54.6,26.5,Clayey,Pulses,13.4,2.2,12.3,20-20
37.8,66.2,37.7,Clayey,Paddy,13.5,3.3,46.9,DAP
29.2,56.2,29.7,Clayey,Pulses,10.5,2.0,12.2,20-20
30.2,66.6,52.7,Loamy,Wheat,36.2,3.3,2.1,Urea
34.6,65.9,31.8,Loamy,Sugarcane,41.9,0.4,1.1,Urea
29.5,60.4,38.7,Clayey,Pulses,44.3,1.9,5.3,Urea
31.7,50.4,41.0,Sandy,Maize,22.8,2.9,24.4,28-28
30.3,51.6,62.6,Black,Cotton,44.3,0.5,6.1,Urea
28.0,53.6,29.8,Red,Ground Nuts,10.4,0.8,36.2,DAP
32.2,63.0,36.5,Red,Pulses,22.1,1.7,28.2,28-28
29.0,57.1,45.2,Clayey,Paddy,45.6,2.9,1.3,Urea
34.8,64.6,65.6,Red,Cotton,13.0,14.7,32.3,14-35-14
28.7,55.3,47.3,Clayey,Paddy,36.3,3.4,2.4,Urea
31.6,57.0,31.9,Black,Millets,39.6,2.1,5.3,Urea
32.8,65.6,44.1,Loamy,Wheat,40.1,3.1,0.8,Urea
28.3,57.7,57.3,Red,Cotton,12.8,2.3,15.9,20-20
34.0,64.1,54.1,Loamy,Sugarcane,12.8,14.7,13.3,17-17-17
26.8,53.4,55.5,Loamy,Wheat,11.7,3.0,39.5,DAP
35.7,62.5,48.4,Loamy,Sugarcane,13.5,17.6,15.2,17-17-17
28.7,52.6,61.7,Red,Cotton,9.0,0.2,12.6,20-20
30.8,55.5,44.2,Clayey,Paddy,33.6,0.8,3.1,Urea
32.4,65.5,39.0,Clayey,Pulses,38.0,0.9,1.5,Urea
34.6,64.8,56.3,Loamy,Sugarcane,13.2,14.3,10.2,17-17-17
28.7,63.0,62.7,Loamy,Cotton,11.3,10.4,29.4,14-35-14
28.7,52.5,47.4,Loamy,Wheat,23.4,4.0,17.7,28-28
31.2,57.3,51.4,Loamy,Wheat,15.0,2.7,33.0,DAP
36.0,70.6,42.5,Clayey,Paddy,10.9,4.2,39.7,DAP
38.2,70.4,31.4,Red,Tobacco,12.7,2.7,41.6,DAP
37.4,61.8,58.9,Red,Cotton,7.8,11.4,37.6,14-35-14
35.4,57.9,55.5,Red,Cotton,12.6,10.4,34.0,14-35-14
33.0,62.3,31.9,Loamy,Sugarcane,36.1,1.9,1.2,Urea
32.4,51.1,53.4,Loamy,Wheat,11.0,3.4,34.8,DAP
30.8,52.5,52.8,Loamy,Wheat,11.6,3.3,44.1,DAP
27.5,59.4,36.6,Black,Millets,34.9,0.1,4.3,Urea
27.2,52.9,41.4,Black,Millets,44.5,0.7,2.7,Urea
29.5,51.3,32.2,Sandy,Barley,14.5,13.7,10.6,17-17-17
35.2,55.6,39.9,Sandy,Millets,22.0,3.7,16.3,28-28
27.1,53.3,25.5,Sandy,Ground Nuts,18.2,2.9,35.5,DAP
28.9,56.8,26.3,Clayey,Pulses,10.1,1.1,8.6,20-20
31.0,64.3,38.3,Clayey,Pulses,42.1,1.5,3.5,Urea
31.5,63.4,48.0,Black,Sugarcane,13.2,15.8,13.3,17-17-17
28.8,55.5,39.3,Sandy,Millets,15.0,2.7,21.9,28-28
30.2,62.0,31.5,Loamy,Sugarcane,37.2,3.6,4.4,Urea
37.1,69.7,36.7,Red,Tobacco,14.0,1.6,36.9,DAP
34.4,63.1,33.6,Clayey,Pulses,39.5,3.7,4.4,Urea
28.4,56.0,34.9,Black,Millets,39.2,4.0,2.3,Urea
30.3,60.4,33.4,Loamy,Sugarcane,37.2,2.1,2.1,Urea
30.8,55.9,36.2,Sandy,Millets,15.9,4.0,20.2,28-28
31.7,67.0,30.8,Red,Pulses,27.5,5.1,21.2,28-28
39.4,69.6,42.2,Clayey,Paddy,10.9,0.8,44.0,DAP
35.6,68.6,29.9,Sandy,Barley,14.8,3.7,39.7,14-35-14
35.0,65.6,48.7,Loamy,Sugarcane,13.1,14.5,12.8,17-17-17
25.4,67.2,65.0,Loamy,Cotton,35.9,3.9,3.8,Urea
28.5,56.9,49.8,Loamy,Wheat,12.5,2.7,32.6,DAP
31.2,66.7,52.9,Loamy,Wheat,45.5,0.6,2.1,Urea
36.4,68.5,42.6,Clayey,Paddy,12.1,3.6,43.8,DAP
37.2,62.3,62.8,Black,Cotton,7.3,9.4,32.0,14-35-14
37.5,65.6,63.9,Black,Cotton,6.4,13.5,27.9,14-35-14
29.9,62.7,64.9,Red,Cotton,11.6,10.2,30.6,14-35-14
27.7,55.6,38.5,Black,Millets,37.6,1.6,3.7,Urea
34.5,69.6,40.1,Clayey,Paddy,17.5,4.6,36.4,DAP
34.6,60.3,28.8,Loamy,Sugarcane,40.6,0.0,0.9,Urea
31.0,63.3,33.5,Loamy,Sugarcane,14.4,2.1,33.7,DAP
27.1,55.8,30.8,Red,Ground Nuts,12.0,2.0,44.4,DAP
26.5,48.7,33.0,Sandy,Barley,17.1,11.4,16.2,17-17-17
36.9,70.4,36.3,Clayey,Paddy,10.4,5.1,46.1,DAP
26.6,62.6,65.3,Loamy,Cotton,5.6,9.6,34.6,14-35-14
33.4,57.3,47.5,Loamy,Wheat,14.5,1.6,39.1,DAP
24.9,50.5,39.7,Sandy,Barley,19.2,12.3,16.8,17-17-17
32.2,60.1,44.8,Black,Sugarcane,12.3,14.3,12.7,17-17-17
35.0,62.2,33.7,Loamy,Sugarcane,36.2,0.7,5.9,Urea
36.4,66.8,39.9,Clayey,Paddy,14.3,5.4,38.5,DAP
29.9,52.3,36.9,Sandy,Barley,17.8,12.0,13.5,17-17-17
31.2,63.6,33.4,Loamy,Sugarcane,38.0,3.3,2.0,Urea
29.8,52.2,33.8,Sandy,Ground Nuts,12.5,3.0,44.2,DAP
31.6,52.7,38.1,Sandy,Millets,18.7,0.0,16.9,28-28
30.2,58.8,39.6,Black,Millets,39.2,3.1,0.5,Urea
36.0,69.4,56.6,Loamy,Sugarcane,12.4,17.4,11.9,17-17-17
34.2,66.2,35.2,Clayey,Paddy,12.3,3.4,43.0,DAP
27.1,54.6,59.5,Red,Cotton,10.8,3.5,11.2,20-20
37.0,68.5,33.3,Black,Oil seeds,11.2,9.6,44.8,DAP
27.7,54.2,59.5,Red,Cotton,13.5,5.0,10.9,20-20
35.3,65.6,33.6,Red,Tobacco,11.3,2.9,35.7,DAP
34.0,60.5,32.2,Loamy,Sugarcane,42.1,2.0,3.6,Urea
36.8,60.5,37.6,Red,Pulses,18.3,1.4,22.7,28-28
28.8,52.2,31.0,Clayey,Pulses,10.7,0.5,7.7,20-20
35.4,63.8,58.4,Red,Cotton,11.1,12.3,28.9,14-35-14
26.3,57.2,43.4,Loamy,Wheat,25.6,1.2,21.6,28-28
35.4,62.7,44.5,Loamy,Wheat,39.6,3.2,3.4,Urea
26.8,66.5,67.2,Loamy,Cotton,41.9,3.8,0.6,Urea
28.6,53.3,50.8,Loamy,Wheat,12.7,3.5,31.9,DAP
31.4,56.5,39.2,Black,Millets,42.5,2.5,5.0,Urea
29.9,54.7,34.2,Clayey,Pulses,12.3,3.9,13.9,20-20
28.0,58.0,58.2,Red,Cotton,14.0,1.4,13.6,20-20
27.2,66.6,64.2,Loamy,Cotton,43.9,3.3,1.9,Urea
31.1,60.0,28.2,Loamy,Sugarcane,40.3,3.5,5.4,Urea
33.7,64.3,56.6,Loamy,Sugarcane,13.0,14.6,10.9,17-17-17
38.5,67.7,41.4,Clayey,Paddy,13.6,3.2,41.8,DAP
35.7,66.4,63.0,Loamy,Sugarcane,10.9,8.0,33.6,14-35-14
34.1,65.0,39.0,Red,Tobacco,9.6,0.0,40.7,DAP
27.7,51.9,34.6,Red,Ground Nuts,14.1,1.6,39.5,DAP
35.2,65.2,31.6,Red,Tobacco,11.5,1.8,38.1,DAP
25.9,54.5,24.5,Sandy,Ground Nuts,21.6,5.7,44.3,DAP
35.6,60.6,41.6,Clayey,Paddy,16.4,3.1,23.7,28-28
30.2,54.7,28.1,Red,Ground Nuts,8.4,0.0,38.5,DAP
32.8,59.8,69.2,Black,Cotton,37.7,1.9,4.1,Urea
32.8,53.5,47.1,Clayey,Paddy,37.0,0.7,0.0,Urea
32.7,52.1,45.5,Sandy,Maize,29.0,3.6,20.0,28-28
25.1,51.2,48.9,Loamy,Wheat,24.8,3.2,15.1,28-28
32.1,64.3,35.7,Loamy,Sugarcane,40.9,1.5,1.1,Urea
27.7,55.4,28.6,Red,Ground Nuts,9.3,0.7,44.8,DAP
36.2,67.1,27.7,Sandy,Barley,12.7,3.5,33.7,14-35-14
34.9,65.9,29.6,Red,Tobacco,10.2,4.0,39.9,DAP
35.6,71.1,38.7,Clayey,Paddy,12.5,2.7,41.9,DAP
30.9,64.9,32.2,Loamy,Sugarcane,17.1,0.0,43.2,DAP
32.3,65.6,62.0,Black,Cotton,9.1,12.6,30.6,14-35-14
32.9,60.3,37.5,Red,Tobacco,22.6,2.9,26.0,28-28
33.1,51.4,37.0,Sandy,Maize,20.8,2.6,16.5,28-28
37.0,65.7,34.4,Red,Tobacco,9.0,0.0,40.9,DAP
30.4,62.7,52.4,Loamy,Wheat,43.6,3.7,5.4,Urea
29.7,55.2,40.8,Black,Millets,39.1,4.3,6.2,Urea
32.3,56.0,50.4,Clayey,Paddy,43.6,2.5,5.1,Urea
36.9,68.7,37.6,Red,Tobacco,10.2,2.8,41.3,DAP
34.2,58.9,61.7,Loamy,Sugarcane,14.0,9.3,32.3,14-35-14
37.4,67.7,62.3,Black,Cotton,8.8,11.1,31.9,14-35-14
33.1,60.9,58.7,Red,Cotton,12.4,13.5,26.0,14-35-14
28.7,66.6,25.2,Loamy,Sugarcane,10.1,0.0,41.3,DAP
34.4,64.0,52.8,Loamy,Wheat,36.5,0.0,2.1,Urea
34.6,64.7,42.2,Clayey,Paddy,15.9,4.2,24.2,28-28
31.5,56.5,42.5,Loamy,Wheat,25.7,1.3,18.1,28-28
34.2,66.0,48.4,Loamy,Sugarcane,15.7,17.7,15.0,17-17-17
28.2,52.8,35.5,Sandy,Barley,19.4,8.9,15.6,17-17-17
26.3,52.4,39.5,Sandy,Barley,18.3,11.4,16.7,17-17-17
29.9,62.0,52.0,Loamy,Wheat,44.3,5.3,2.0,Urea
35.9,72.2,28.5,Black,Oil seeds,11.5,6.7,38.7,DAP
33.8,58.8,56.4,Loamy,Sugarcane,15.9,5.5,32.4,14-35-14
29.8,53.3,39.7,Black,Millets,39.7,4.9,4.3,Urea
36.7,60.8,38.6,Red,Pulses,28.0,0.9,19.8,28-28
34.4,69.2,33.3,Sandy,Barley,11.0,0.0,44.5,14-35-14
32.3,55.0,41.4,Clayey,Paddy,41.5,0.7,1.0,Urea
25.8,55.1,39.1,Sandy,Barley,10.2,14.1,17.4,17-17-17
35.5,67.4,34.5,Black,Oil seeds,8.2,7.7,38.3,DAP
31.7,58.5,45.0,Black,Sugarcane,9.6,13.4,14.0,17-17-17
31.9,58.5,64.9,Black,Cotton,37.0,0.5,1.6,Urea
31.2,62.6,62.5,Loamy,Sugarcane,11.6,10.9,33.6,14-35-14
38.1,68.2,37.8,Clayey,Paddy,14.5,1.8,44.0,DAP
30.5,64.0,31.6,Red,Tobacco,27.6,1.3,29.3,28-28
34.0,64.6,51.8,Loamy,Sugarcane,9.3,12.5,13.1,17-17-17
24.6,55.9,25.1,Red,Ground Nuts,17.2,17.6,9.3,17-17-17
24.2,55.1,32.5,Sandy,Ground Nuts,19.3,4.6,38.4,DAP
29.7,55.1,31.4,Sandy,Barley,17.6,11.8,11.7,17-17-17
31.7,52.4,48.1,Loamy,Wheat,11.9,3.5,35.5,DAP
35.0,65.7,28.7,Loamy,Sugarcane,40.7,4.4,1.5,Urea
30.1,56.3,43.0,Sandy,Maize,28.4,4.6,22.0,28-28
29.5,51.0,36.5,Sandy,Maize,31.9,1.9,1.6,Urea
31.3,50.6,50.1,Loamy,Wheat,16.0,4.5,42.9,DAP
28.9,53.7,43.7,Sandy,Maize,23.9,2.1,21.5,28-28
33.9,63.7,36.7,Red,Tobacco,29.6,2.7,22.0,28-28
33.5,69.1,33.7,Sandy,Barley,10.4,3.8,34.1,14-35-14
30.5,52.7,35.3,Sandy,Maize,32.8,2.2,5.2,Urea
33.5,67.2,40.4,Clayey,Pulses,41.7,2.5,0.1,Urea
34.4,66.3,39.7,Clayey,Paddy,14.4,3.5,24.9,28-28
32.7,52.2,41.6,Sandy,Maize,18.7,1.5,15.4,28-28
35.2,62.6,38.1,Red,Pulses,21.3,3.5,20.0,28-28
36.5,69.9,30.2,Red,Tobacco,10.0,4.6,38.3,DAP
29.5,56.4,41.6,Sandy,Maize,28.2,0.1,17.2,28-28
35.1,66.6,35.3,Red,Tobacco,22.3,0.0,22.4,28-28
34.1,62.7,27.2,Loamy,Sugarcane,16.1,0.1,43.5,DAP
25.0,57.9,56.1,Red,Cotton,10.5,1.7,9.6,20-20
26.9,56.3,26.8,Clayey,Pulses,14.0,0.9,9.1,20-20
34.2,62.3,37.3,Clayey,Pulses,38.8,3.5,3.9,Urea
26.4,54.7,27.0,Clayey,Pulses,12.6,3.1,8.1,20-20
27.4,67.0,30.1,Loamy,Sugarcane,17.1,4.4,36.0,DAP
28.1,63.4,53.8,Black,Sugarcane,14.5,14.0,10.8,17-17-17
32.2,64.1,48.7,Loamy,Sugarcane,14.6,14.7,15.1,17-17-17
27.5,59.3,63.3,Loamy,Cotton,11.5,12.9,34.4,14-35-14
36.4,72.4,37.5,Black,Oil seeds,12.5,8.0,41.3,DAP
35.4,63.6,29.1,Red,Tobacco,29.9,2.9,18.4,28-28
38.5,69.3,35.1,Clayey,Paddy,12.9,0.6,42.0,DAP
37.1,63.4,66.6,Black,Cotton,10.8,13.2,26.9,14-35-14
29.6,50.3,41.1,Sandy,Maize,20.6,2.7,25.7,28-28
35.3,71.4,40.9,Clayey,Paddy,16.0,3.1,37.9,DAP
27.7,54.0,42.5,Sandy,Maize,42.1,3.3,4.2,Urea
34.2,60.5,60.0,Loamy,Sugarcane,11.9,10.5,30.0,14-35-14
32.9,65.0,44.1,Clayey,Paddy,17.3,2.4,24.0,28-28
